year,event,noc,medal,iso_code,gdp_per_capita,population,host_noc,is_host,log_gdp_per_capita,log_population
1952,"Pairs, Mixed",USA,silver,USA,,,NOR,0,,
1952,"Ice Hockey, Men",USA,silver,USA,,,NOR,0,,
1952,"500 metres, Men",USA,silver,USA,,,NOR,0,,
1956,"Downhill, Men",AUT,bronze,AUT,,,ITA,0,,
1956,"Giant Slalom, Men",AUT,bronze,AUT,,,ITA,0,,
1956,"Giant Slalom, Women",AUT,bronze,AUT,,,ITA,0,,
1956,"Singles, Women",AUT,bronze,AUT,,,ITA,0,,
1956,"Downhill, Men",AUT,gold,AUT,,,ITA,0,,
1956,"Giant Slalom, Men",AUT,gold,AUT,,,ITA,0,,
1956,"Slalom, Men",AUT,gold,AUT,,,ITA,0,,
1956,"Pairs, Mixed",AUT,gold,AUT,,,ITA,0,,
1956,"Giant Slalom, Men",AUT,silver,AUT,,,ITA,0,,
1956,"Giant Slalom, Women",AUT,silver,AUT,,,ITA,0,,
1956,"Slalom, Women",AUT,silver,AUT,,,ITA,0,,
1956,"Downhill, Women",CAN,bronze,CAN,,,ITA,0,,
1956,"Ice Hockey, Men",CAN,bronze,CAN,,,ITA,0,,
1956,"Pairs, Mixed",CAN,silver,CAN,,,ITA,0,,
1956,"1,500 metres, Men",FIN,bronze,FIN,,,ITA,0,,
1956,"30 kilometres, Men",FIN,gold,FIN,,,ITA,0,,
1956,"Relay, Women",FIN,gold,FIN,,,ITA,0,,
1956,"Large Hill, Individual, Men",FIN,gold,FIN,,,ITA,0,,
1956,"50 kilometres, Men",FIN,silver,FIN,,,ITA,0,,
1956,"Relay, Men",FIN,silver,FIN,,,ITA,0,,
1956,"Large Hill, Individual, Men",FIN,silver,FIN,,,ITA,0,,
1956,"Large Hill, Individual, Men",GER,bronze,DEU,,,ITA,0,,
1956,"Giant Slalom, Women",GER,gold,DEU,,,ITA,0,,
1956,"Pairs, Mixed",HUN,bronze,HUN,,,ITA,0,,
1956,"Two, Men",ITA,gold,ITA,,,ITA,1,,
1956,"Two, Men",ITA,silver,ITA,,,ITA,1,,
1956,"Four, Men",ITA,silver,ITA,,,ITA,1,,
1956,"Slalom, Men",JPN,silver,JPN,,,ITA,0,,
1956,"500 metres, Men",NOR,bronze,NOR,,,ITA,0,,
1956,"15 kilometres, Men",NOR,gold,NOR,,,ITA,0,,
1956,"Individual, Men",NOR,gold,NOR,,,ITA,0,,
1956,"10,000 metres, Men",NOR,silver,NOR,,,ITA,0,,
1956,"Individual, Men",POL,bronze,POL,,,ITA,0,,
1956,"Two, Men",SUI,bronze,CHE,,,ITA,0,,
1956,"Downhill, Women",SUI,gold,CHE,,,ITA,0,,
1956,"Slalom, Women",SUI,gold,CHE,,,ITA,0,,
1956,"Four, Men",SUI,gold,CHE,,,ITA,0,,
1956,"Downhill, Men",SUI,silver,CHE,,,ITA,0,,
1956,"Downhill, Women",SUI,silver,CHE,,,ITA,0,,
1956,"Slalom, Men",SWE,bronze,SWE,,,ITA,0,,
1956,"Relay, Men",SWE,bronze,SWE,,,ITA,0,,
1956,"10 kilometres, Women",SWE,bronze,SWE,,,ITA,0,,
1956,"Relay, Women",SWE,bronze,SWE,,,ITA,0,,
1956,"50 kilometres, Men",SWE,gold,SWE,,,ITA,0,,
1956,"10,000 metres, Men",SWE,gold,SWE,,,ITA,0,,
1956,"15 kilometres, Men",SWE,silver,SWE,,,ITA,0,,
1956,"30 kilometres, Men",SWE,silver,SWE,,,ITA,0,,
1956,"Individual, Men",SWE,silver,SWE,,,ITA,0,,
1956,"5,000 metres, Men",SWE,silver,SWE,,,ITA,0,,
1956,"Slalom, Women",URS,bronze,RUS,,,ITA,0,,
1956,"15 kilometres, Men",URS,bronze,RUS,,,ITA,0,,
1956,"30 kilometres, Men",URS,bronze,RUS,,,ITA,0,,
1956,"50 kilometres, Men",URS,bronze,RUS,,,ITA,0,,
1956,"5,000 metres, Men",URS,bronze,RUS,,,ITA,0,,
1956,"10,000 metres, Men",URS,bronze,RUS,,,ITA,0,,
1956,"Relay, Men",URS,gold,RUS,,,ITA,0,,
1956,"10 kilometres, Women",URS,gold,RUS,,,ITA,0,,
1956,"Ice Hockey, Men",URS,gold,RUS,,,ITA,0,,
1956,"500 metres, Men",URS,gold,RUS,,,ITA,0,,
1956,"5,000 metres, Men",URS,gold,RUS,,,ITA,0,,
1956,"1,500 metres, Men",URS,gold,RUS,,,ITA,0,,
1956,"10 kilometres, Women",URS,silver,RUS,,,ITA,0,,
1956,"Relay, Women",URS,silver,RUS,,,ITA,0,,
1956,"500 metres, Men",URS,silver,RUS,,,ITA,0,,
1956,"Four, Men",USA,bronze,USA,,,ITA,0,,
1956,"Singles, Men",USA,bronze,USA,,,ITA,0,,
1956,"Singles, Men",USA,gold,USA,,,ITA,0,,
1956,"Singles, Women",USA,gold,USA,,,ITA,0,,
1956,"Singles, Men",USA,silver,USA,,,ITA,0,,
1956,"Singles, Women",USA,silver,USA,,,ITA,0,,
1956,"Ice Hockey, Men",USA,silver,USA,,,ITA,0,,
1960,"Giant Slalom, Men",AUT,bronze,AUT,939.914814681174,7047539.0,USA,0,6.845789248477964,15.768189035832354
1960,"Downhill, Women",AUT,bronze,AUT,939.914814681174,7047539.0,USA,0,6.845789248477964,15.768189035832354
1960,"Large Hill, Individual, Men",AUT,bronze,AUT,939.914814681174,7047539.0,USA,0,6.845789248477964,15.768189035832354
1960,"Slalom, Men",AUT,gold,AUT,939.914814681174,7047539.0,USA,0,6.845789248477964,15.768189035832354
1960,"Giant Slalom, Men",AUT,silver,AUT,939.914814681174,7047539.0,USA,0,6.845789248477964,15.768189035832354
1960,"Slalom, Men",AUT,silver,AUT,939.914814681174,7047539.0,USA,0,6.845789248477964,15.768189035832354
1960,"Singles, Men",CAN,bronze,CAN,2264.94849658191,17909356.0,USA,0,7.72530729884267,16.7008338158248
1960,"Slalom, Women",CAN,gold,CAN,2264.94849658191,17909356.0,USA,0,7.72530729884267,16.7008338158248
1960,"Pairs, Mixed",CAN,gold,CAN,2264.94849658191,17909356.0,USA,0,7.72530729884267,16.7008338158248
1960,"Ice Hockey, Men",CAN,silver,CAN,2264.94849658191,17909356.0,USA,0,7.72530729884267,16.7008338158248
1960,"15 kilometres, Men",FIN,bronze,FIN,1191.85508873415,4429634.0,USA,0,7.083266270381181,15.303827520098062
1960,"Relay, Women",FIN,bronze,FIN,1191.85508873415,4429634.0,USA,0,7.083266270381181,15.303827520098062
