year,event,medal,noc,iso_code,gdp_per_capita,population,host_noc,is_host,log_gdp_per_capita,log_population
1976,"Relay, Men",gold,URS,RUS,,135147000.0,AUT,0,,18.721873632882094
1976,"Two, Men",gold,GDR,DEU,6659.16546576017,78336950.0,AUT,0,8.803749450241636,18.176529952587277
1976,"Four, Men",gold,GDR,DEU,6659.16546576017,78336950.0,AUT,0,8.803749450241636,18.176529952587277
1976,"15 kilometres, Men",gold,URS,RUS,,135147000.0,AUT,0,,18.721873632882094
1976,"30 kilometres, Men",gold,URS,RUS,,135147000.0,AUT,0,,18.721873632882094
1976,"50 kilometres, Men",gold,NOR,NOR,8927.20162734477,4026152.0,AUT,0,9.096858257162088,15.20832163906432
1976,"Relay, Men",gold,FIN,FIN,6740.29145314637,4725664.0,AUT,0,8.815858445278014,15.36851863813722
1976,"5 kilometres, Women",gold,FIN,FIN,6740.29145314637,4725664.0,AUT,0,8.815858445278014,15.36851863813722
1976,"10 kilometres, Women",gold,URS,RUS,,135147000.0,AUT,0,,18.721873632882094
1976,"Relay, Women",gold,URS,RUS,,135147000.0,AUT,0,,18.721873632882094
1976,"Singles, Men",gold,GBR,GBR,4138.16778761535,56211968.0,AUT,0,8.32800840548135,17.844640245929146
1976,"Singles, Women",gold,USA,USA,8592.25353727612,218035000.0,AUT,0,9.05861632484169,19.20016615832523
1976,"Pairs, Mixed",gold,URS,RUS,,135147000.0,AUT,0,,18.721873632882094
1976,"Ice Dance, Mixed",gold,URS,RUS,,135147000.0,AUT,0,,18.721873632882094
1976,"Ice Hockey, Men",gold,URS,RUS,,135147000.0,AUT,0,,18.721873632882094
1976,"Singles, Men",gold,GDR,DEU,6659.16546576017,78336950.0,AUT,0,8.803749450241636,18.176529952587277
1976,"Doubles, Men",gold,GDR,DEU,6659.16546576017,78336950.0,AUT,0,8.803749450241636,18.176529952587277
1976,"Singles, Women",gold,GDR,DEU,6659.16546576017,78336950.0,AUT,0,8.803749450241636,18.176529952587277
1976,"Individual, Men",gold,GDR,DEU,6659.16546576017,78336950.0,AUT,0,8.803749450241636,18.176529952587277
1976,"Normal Hill, Individual, Men",gold,GDR,DEU,6659.16546576017,78336950.0,AUT,0,8.803749450241636,18.176529952587277
1976,"Large Hill, Individual, Men",gold,AUT,AUT,5656.1451383787,7565525.0,AUT,1,8.640497868205216,15.839112301342562
1976,"500 metres, Men",gold,URS,RUS,,135147000.0,AUT,0,,18.721873632882094
1976,"1,000 metres, Men",gold,USA,USA,8592.25353727612,218035000.0,AUT,0,9.05861632484169,19.20016615832523
1976,"1,500 metres, Men",gold,NOR,NOR,8927.20162734477,4026152.0,AUT,0,9.096858257162088,15.20832163906432
1976,"5,000 metres, Men",gold,NOR,NOR,8927.20162734477,4026152.0,AUT,0,9.096858257162088,15.20832163906432
1976,"10,000 metres, Men",gold,NED,NLD,7937.35246713998,13774037.0,AUT,0,8.9793350562112,16.438296001303588
1976,"500 metres, Women",gold,USA,USA,8592.25353727612,218035000.0,AUT,0,9.05861632484169,19.20016615832523
1976,"1,000 metres, Women",gold,URS,RUS,,135147000.0,AUT,0,,18.721873632882094
1976,"1,500 metres, Women",gold,URS,RUS,,135147000.0,AUT,0,,18.721873632882094
1976,"3,000 metres, Women",gold,URS,RUS,,135147000.0,AUT,0,,18.721873632882094
1980,"Downhill, Men",gold,AUT,AUT,10826.9718274995,7549433.0,USA,0,9.2897956912478,15.836983019067363
1980,"Giant Slalom, Men",gold,SWE,SWE,17073.0446711494,8310531.0,USA,0,9.745256163747012,15.933034063707149
